id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
12536843;Botafogo-Charmoso 3 quartos entreZona Sul e Centro;454785;Vania;;Botafogo;-22.94123236;-43.18037046;Entire home/apt;391;15;1;4/03/2017;0.05;1;45
21887867;Residencial c/serviços. Incrível localização;61856917;Isabella;;Barra da Tijuca;-23.00667531;-43.31890778;Entire home/apt;180;3;5;24/07/2018;0.54;1;241
22183234;BARRA PARADISO SUÍTE B;4255118;Ricardo;;Barra da Tijuca;-23.00610084;-43.32095852;Entire home/apt;199;3;1;18/08/2018;0.54;42;363
11734113;Apart Luxo 3 Rooms;62415912;Cirlene;;Jacarepaguá;-22.97121325;-43.38931093;Entire home/apt;849;3;0;;;1;365
21344896;Suite no Verano Stay;51995922;Fabiano;;Jacarepaguá;-22.96833937;-43.38835873;Entire home/apt;101;2;1;30/10/2017;0.09;3;44
6006013;Leblon 2 room noblest area;894049;Janara;;Leblon;-22.98377365;-43.23129326;Entire home/apt;800;3;0;;;16;365
12758606;APARTAMENTO TEMPORADA RIO DE JANEIRO;69403639;Anelisa De Oliveira;;Lagoa;-22.9770874;-43.19820127;Entire home/apt;428;3;1;16/08/2016;0.04;1;363
1763475;Apartamento no Leblon vista p mar;9269397;Natalia;;Leblon;-22.9861556;-43.23140668;Entire home/apt;2441;2;4;15/07/2014;0.07;1;364
16790175;Quarto confortável em Laranjeiras;111566179;Manu;;Laranjeiras;-22.93658506;-43.18624135;Private room;94;2;5;31/08/2018;0.54;1;354
22602640;BR near Copacabana, Lapa, Christ and Sambódromo;16224842;Francisco;;Laranjeiras;-22.93658962;-43.18362898;Private room;101;1;11;2/10/2018;1.19;4;133
12561298;Estrelas - Olympic Games;59353117;Marcio;;Jacarepaguá;-22.96870881;-43.39189141;Entire home/apt;699;15;1;23/08/2016;0.04;1;365
5931972;Laranjeiras, próximo ao metrô;26150683;Leticia E Vitor;;Laranjeiras;-22.9333378;-43.18282518;Private room;131;1;5;18/02/2018;0.14;1;359
23401187;Atê 5 perto Copacabana, Lapa, Cristo e Sambódromo;16224842;Francisco;;Laranjeiras;-22.93560233;-43.18370935;Private room;248;1;2;5/10/2018;0.92;4;171
18355821;Amazing! The best room in Laranjeiras neighborhood;15440090;João;;Laranjeiras;-22.93582319;-43.18430356;Private room;60;1;15;24/06/2018;0.92;1;81
21863120;Quarto individual para solteiro em Laranjeiras;32971730;Bruno;;Laranjeiras;-22.9333797;-43.1848211;Private room;68;5;1;24/01/2018;0.11;3;363
13769699;Close to the beach , HSBC Arena and Rio Centro.;48580733;Cesar;;Jacarepaguá;-22.96753611;-43.3910738;Entire home/apt;252;2;4;14/11/2016;0.16;1;363
22143342;Suite- Barra da Tijuca, RockinRio, Parque Olímpico;161699539;Regina;;Jacarepaguá;-22.96724527;-43.3876197;Entire home/apt;158;4;2;28/05/2018;0.43;3;20
16234581;Apartment  Barra da Tijuca;106107053;Raquel;;Barra da Tijuca;-22.97407502;-43.38766616;Entire home/apt;192;2;6;14/02/2018;0.28;1;363
11950217;Rent for Reveillon- 2 rooms;63816813;Adriana;;Jacarepaguá;-22.96825929;-43.39125378;Entire home/apt;398;2;2;25/09/2017;0.15;3;179
5971015;Apê em Botafogo;30998037;João Paulo;;Botafogo;-22.94190627;-43.17951143;Entire home/apt;252;2;0;;;1;365
